ticker,name,industry,marketCap
UGRO,"urban-gro, Inc.",Farm & Heavy Construction Machinery,2413102
GP,GreenPower Motor Company Inc.,Farm & Heavy Construction Machinery,5456813
HYFM,"Hydrofarm Holdings Group, Inc.",Farm & Heavy Construction Machinery,7000506
CHSN,Chanson International Holding,Restaurants,1142307
VSTD,Vestand Inc.,Restaurants,4356042
BTBD,"BT Brands, Inc.",Restaurants,7626934
BTOG,Bit Origin Ltd,Financial Data & Stock Exchanges,4576674
DTCX,"Datacentrex, Inc.",Financial Data & Stock Exchanges,35109096
MKTW,"MarketWise, Inc.",Financial Data & Stock Exchanges,244717482
PRHI,"Presurance Holdings, Inc.",Insurance - Property & Casualty,8024321
KINS,"Kingstone Companies, Inc.",Insurance - Property & Casualty,230744551
NODK,"NI Holdings, Inc.",Insurance - Property & Casualty,279207872
CLOV,"Clover Health Investments, Corp.",Healthcare Plans,1121191379
PGNY,"Progyny, Inc.",Healthcare Plans,1869930775
OSCR,"Oscar Health, Inc.",Healthcare Plans,3487027110
TBHC,"The Brand House Collective, Inc.",Home Improvement Retail,25493670
LIVE,Live Ventures Incorporated,Home Improvement Retail,59743709
HVT.A,"Haverty Furniture Companies, Inc.",Home Improvement Retail,434226625
IMTE,Integrated Media Technology Limited,Electronic Components,2136789
OST,"Ostin Technology Group Co., Ltd.",Electronic Components,9026216
MTEK,Maris-Tech Ltd.,Electronic Components,12916953
GCTK,"GlucoTrack, Inc.",Medical Instruments & Supplies,1875923
LUCY,"Lucyd, Inc",Medical Instruments & Supplies,6313216
CUPR,Cuprina Holdings (Cayman) Limited,Medical Instruments & Supplies,9354345
NTRP,"NextTrip, Inc.",Travel Services,42640438
TOUR,Tuniu Corporation,Travel Services,72168411
YTRA,"Yatra Online, Inc.",Travel Services,85174421
GNLN,"Greenlane Holdings, Inc.",Tobacco,1486535
XXII,"22nd Century Group, Inc.",Tobacco,2816126
RYM,"RYTHM, Inc.",Tobacco,36787174
CHNR,"China Natural Resources, Inc.",Other Industrial Metals & Mining,4610944
FMST,Foremost Clean Energy Ltd.,Other Industrial Metals & Mining,35385851
LITM,Snow Lake Resources Ltd.,Other Industrial Metals & Mining,58044586
RVSN,Rail Vision Ltd.,Railroads,14249450
SWVL,Swvl Holdings Corp.,Railroads,16042594
RAIL,"FreightCar America, Inc.",Railroads,255660020
FGL,Founder Group Limited,Engineering & Construction,2821066
SKK,SKK Holdings Limited,Engineering & Construction,5628750
OFAL,OFA Group,Engineering & Construction,7218483
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,5174747
ILAG,Intelligent Living Application Group Inc.,Building Products & Equipment,5670068
UUU,"Universal Safety Products, Inc",Building Products & Equipment,13063524
PW,Power REIT,REIT - Specialty,2999067
SELF,"Global Self Storage, Inc.",REIT - Specialty,58049126
LAND,Gladstone Land Corporation,REIT - Specialty,407885487
UPC,Universe Pharmaceuticals INC,Drug Manufacturers - Specialty & Generic,2146318
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,2206602
PRFX,PRF Technologies Ltd.,Drug Manufacturers - Specialty & Generic,2310051
CRE,Cre8 Enterprise Limited,Specialty Business Services,6810707
PMAX,Powell Max Limited,Specialty Business Services,7162780
SFHG,Samfine Creation Holdings Group Limited,Specialty Business Services,12687500
JEM,707 Cayman Holdings Limited,Apparel Retail,3526926
BIRD,"Allbirds, Inc.",Apparel Retail,28827132
DXLG,"Destination XL Group, Inc.",Apparel Retail,33531711
FRSX,Foresight Autonomous Holdings Ltd.,Auto Parts,6947840
INEO,INNEOVA Holdings Limited,Auto Parts,8611997
MKDW,MKDWELL Tech Inc.,Auto Parts,10053343
AAME,Atlantic American Corporation,Insurance - Life,52420876
SNFCA,Security National Financial Corporation,Insurance - Life,222303609
CIA,"Citizens, Inc.",Insurance - Life,295493982
STAK,STAK Inc.,Oil & Gas Equipment & Services,6491177
RCON,"Recon Technology, Ltd.",Oil & Gas Equipment & Services,37671734
KLXE,"KLX Energy Services Holdings, Inc.",Oil & Gas Equipment & Services,42811500
GVH,Globavend Holdings Limited,Integrated Freight & Logistics,2074426
SGLY,Singularity Future Technology Ltd.,Integrated Freight & Logistics,3126720
CTNT,Cheetah Net Supply Chain Service Inc.,Integrated Freight & Logistics,4204862
MDV,"Modiv Industrial, Inc.",REIT - Industrial,177668825
ILPT,Industrial Logistics Properties Trust,REIT - Industrial,372625124
IIPR,"Innovative Industrial Properties, Inc.",REIT - Industrial,1359534632
EZRA,"Reliance Global Group, Inc.",Insurance Brokers,3827785
TIRX,Tian Ruixiang Holdings Ltd.,Insurance Brokers,9285935
HUIZ,Huize Holding Limited,Insurance Brokers,20479809
WXM,WF International Limited,Industrial Distribution,3922413
TLIH,Ten-League International Holdings Limited,Industrial Distribution,10932364
EVI,"EVI Industries, Inc.",Industrial Distribution,330440288
SAM,"The Boston Beer Company, Inc.",Beverages - Brewers,2618673352
CCU,CompaÃ±Ã­a CervecerÃ­as Unidas S.A.,Beverages - Brewers,2703705884
TAP.A,Molson Coors Beverage Company,Beverages - Brewers,10053350388
LGPS,LogProstyle Inc.,Conglomerates,19460393
HHS,"Harte Hanks, Inc.",Conglomerates,21651198
STRR,"Star Equity Holdings, Inc.",Conglomerates,34152876
IE,Ivanhoe Electric Inc.,Copper,2623678907
TGB,Taseko Mines Limited,Copper,2980002356
ERO,Ero Copper Corp.,Copper,3296414648
SOBR,"SOBR Safe, Inc.",Scientific & Technical Instruments,1669132
ASTC,Astrotech Corporation,Scientific & Technical Instruments,5146711
FCUV,Focus Universal Inc.,Scientific & Technical Instruments,5697989
COSM,Cosmos Health Inc.,Medical Distribution,14669858
SNYR,Synergy CHC Corp.,Medical Distribution,19690743
YI,"111, Inc.",Medical Distribution,65959180
GWAV,"Greenwave Technology Solutions, Inc.",Waste Management,3608895
CDTG,CDT Environmental Technology Investment Holdings Limited,Waste Management,3943988
DXST,Decent Holding Inc.,Waste Management,7559902
WHLR,"Wheeler Real Estate Investment Trust, Inc.",REIT - Retail,2095142
PINE,"Alpine Income Property Trust, Inc.",REIT - Retail,326248560
SITC,SITE Centers Corp.,REIT - Retail,343103704
NIVF,NewGenIvf Group Limited,Medical Care Facilities,406368
BMGL,Basel Medical Group Ltd,Medical Care Facilities,11932708
AMS,American Shared Hospital Services,Medical Care Facilities,14590890
ORIS,Oriental Rise Holdings Limited,Packaged Foods,1331756
PAVS,Paranovus Entertainment Technology Ltd.,Packaged Foods,1778506
ATPC,Agape ATP Corporation,Packaged Foods,2427310
CHCT,Community Healthcare Trust Incorporated,REIT - Healthcare Facilities,486177776
GMRE,Global Medical REIT Inc.,REIT - Healthcare Facilities,510422542
UHT,Universal Health Realty Income Trust,REIT - Healthcare Facilities,589906237
UOKA,MDJM Ltd,Lodging,785591
INTG,The InterGroup Corporation,Lodging,62272572
GHG,GreenTree Hospitality Group Ltd.,Lodging,151109052
DLXY,Delixy Holdings Limited,Oil & Gas Refining & Marketing,14715000
SGU,"Star Group, L.P.",Oil & Gas Refining & Marketing,431373202
CLNE,Clean Energy Fuels Corp.,Oil & Gas Refining & Marketing,571279102
RETO,"ReTo Eco-Solutions, Inc.",Building Materials,1738017
CAPS,Capstone Holding Corp.,Building Materials,5114655
CAPT,Captivision Inc.,Building Materials,18450622
RAYA,Erayak Power Solution Group Inc.,Electrical Equipment & Parts,847033
CCTG,CCSC Technology International Holdings Limited,Electrical Equipment & Parts,2583689
POLA,"Polar Power, Inc.",Electrical Equipment & Parts,4413402
DGXX,Digi Power X Inc.,Utilities - Independent Power Producers,159916832
KEN,Kenon Holdings Ltd.,Utilities - Independent Power Producers,3844491280
TAC,TransAlta Corporation,Utilities - Independent Power Producers,4030608519
TBH,"Brag House Holdings, Inc.",Electronic Gaming & Multimedia,7875286
GXAI,Gaxos.ai Inc.,Electronic Gaming & Multimedia,8583761
DKI,Darkiris Inc.,Electronic Gaming & Multimedia,11744185
DRCT,"Direct Digital Holdings, Inc.",Advertising Agencies,2712342
CNET,ZW Data Action Technologies Inc.,Advertising Agencies,2862817
BAOS,Baosheng Media Group Holdings Limited,Advertising Agencies,4265874
SPHL,Springview Holdings Ltd,Residential Construction,60328942
UHG,"United Homes Group, Inc.",Residential Construction,138800186
LEGH,Legacy Housing Corporation,Residential Construction,503868827
SRFM,Surf Air Mobility Inc.,Airlines,130240307
FLYX,"flyExclusive, Inc.",Airlines,285957704
RJET,Republic Airways Holdings Inc.,Airlines,940345000
NVVE,Nuvve Holding Corp.,Specialty Retail,1914951
FTEL,Fitell Corporation,Specialty Retail,3129308
BQ,Boqii Holding Limited,Specialty Retail,4615050
INHD,Inno Holdings Inc.,Steel,9927604
HUDI,"Huadi International Group Co., Ltd.",Steel,16444059
ZKIN,"ZK International Group Co., Ltd.",Steel,29150474
BHM,"Bluerock Homes Trust, Inc.",REIT - Residential,118919718
CLPR,Clipper Realty Inc.,REIT - Residential,149048436
ELME,Elme Communities,REIT - Residential,197067292
AIHS,Senmiao Technology Limited,Rental & Leasing Services,5241112
MWG,Multi Ways Holdings Limited,Rental & Leasing Services,12237072
ALTG,Alta Equipment Group Inc.,Rental & Leasing Services,230643450
YHGJ,Yunhong Green CTI Ltd.,Packaging & Containers,8862123
DSS,"DSS, Inc.",Packaging & Containers,9093191
MGIH,Millennium Group International Holdings Limited,Packaging & Containers,16087500
AZI,Autozi Internet Technology (Global) Ltd.,Auto & Truck Dealerships,2472671
JZXN,"Jiuzi Holdings, Inc.",Auto & Truck Dealerships,3189218
KXIN,Kaixin Holdings,Auto & Truck Dealerships,5609827
LRHC,La Rosa Holdings Corp.,Real Estate Services,786450
ALBT,Avalon GloboCare Corp.,Real Estate Services,2858626
UK,Ucommune International Ltd,Real Estate Services,3383647
AREB,"American Rebel Holdings, Inc.",Footwear & Accessories,3617166
FMFC,Kandal M Venture Limited,Footwear & Accessories,6152460
VRA,"Vera Bradley, Inc.",Footwear & Accessories,71564856
SOWG,Sow Good Inc.,Confectioners,7306045
RMCF,"Rocky Mountain Chocolate Factory, Inc.",Confectioners,25945245
TR,"Tootsie Roll Industries, Inc.",Confectioners,2836431181
NITO,"N2OFF, Inc.",Agricultural Inputs,2920198
SEED,Origin Agritech Limited,Agricultural Inputs,14209166
BIOX,Bioceres Crop Solutions Corp.,Agricultural Inputs,39280689
UTL,Unitil Corporation,Utilities - Diversified,913654443
AVA,Avista Corporation,Utilities - Diversified,3353329488
AQN,Algonquin Power & Utilities Corp.,Utilities - Diversified,4986185124
ETS,Elite Express Holding Inc.,Trucking,8274753
TOPP,Toppoint Holdings Inc.,Trucking,15655800
PAMT,PAMT CORP,Trucking,272038260
RGCO,"RGC Resources, Inc.",Utilities - Regulated Gas,225848586
OPAL,OPAL Fuels Inc.,Utilities - Regulated Gas,423084322
SPH,"Suburban Propane Partners, L.P.",Utilities - Regulated Gas,1319333157
BNRG,Brenmiller Energy Ltd,Utilities - Renewable,1854054
HTOO,Fusion Fuel Green PLC,Utilities - Renewable,7989985
CREG,Smart Powerr Corp.,Utilities - Renewable,25387130
CNTY,"Century Casinos, Inc.",Resorts & Casinos,45345386
CPHC,Canterbury Park Holding Corporation,Resorts & Casinos,78273825
FLL,"Full House Resorts, Inc.",Resorts & Casinos,89039493
CVR,Chicago Rivet & Machine Co.,Tools & Accessories,13129734
EML,The Eastern Company,Tools & Accessories,116518080
HLMN,Hillman Solutions Corp.,Tools & Accessories,2038001961
EDBL,Edible Garden AG Incorporated,Farm Products,1902243
AQB,"AquaBounty Technologies, Inc.",Farm Products,3584153
SDOT,Sadot Group Inc.,Farm Products,4430369
MNDR,Mobile-health Network Solutions,Health Information Services,1569482
HCTI,"Healthcare Triangle, Inc.",Health Information Services,1674774
ACON,"Aclarion, Inc.",Health Information Services,2413598
MTEX,"Mannatech, Incorporated",Food Distribution,14104901
DIT,AMCON Distributing Company,Food Distribution,71851288
HFFG,HF Foods Group Inc.,Food Distribution,85665789
TRUG,"TruGolf Holdings, Inc.",Leisure,4400483
NWTG,"Newton Golf Company, Inc.",Leisure,6646467
HWH,HWH International Inc.,Leisure,9714600
JAGU,Jaguar Uranium Corp.,Uranium,76802498
AEC,Anfield Energy Inc.,Uranium,120866518
EU,enCore Energy Corp.,Uranium,528430591
SBEV,"Splash Beverage Group, Inc.",Beverages - Wineries & Distilleries,1477499
IBG,Innovation Beverage Group Limited,Beverages - Wineries & Distilleries,2727679
WVVI,"Willamette Valley Vineyards, Inc.",Beverages - Wineries & Distilleries,12907775
SACH,Sachem Capital Corp.,REIT - Mortgage,49121855
LOAN,"Manhattan Bridge Capital, Inc.",REIT - Mortgage,51874282
AFCG,Advanced Flower Capital Inc.,REIT - Mortgage,52900599
OSG,"Octave Specialty Group, Inc.",Insurance - Specialty,266377173
JRVR,"James River Group Holdings, Inc.",Insurance - Specialty,304983342
MBI,MBIA Inc.,Insurance - Specialty,311545672
PAPL,Pineapple Financial Inc.,Mortgage Finance,17742892
CNF,CNFinance Holdings Limited,Mortgage Finance,39297578
IOR,"Income Opportunity Realty Investors, Inc.",Mortgage Finance,75142969
NCL,Northann Corp.,"Furnishings, Fixtures & Appliances",3864053
ATER,"Aterian, Inc.","Furnishings, Fixtures & Appliances",5522009
FGI,FGI Industries Ltd.,"Furnishings, Fixtures & Appliances",10848791
INTJ,Intelligent Group Limited,Consulting Services,10058325
VCIG,VCI Global Limited,Consulting Services,12982624
GRNQ,Greenpro Capital Corp.,Consulting Services,16510947
NCI,Neo-Concept International Group Holdings Limited,Apparel Manufacturing,3352815
JXG,JX Luxventure Group Inc.,Apparel Manufacturing,7746481
XELB,"Xcel Brands, Inc.",Apparel Manufacturing,9724795
MTEN,Mingteng International Corporation Inc.,Metal Fabrication,2267049
HIHO,Highway Holdings Limited,Metal Fabrication,4412690
OLOX,Olenox Industries Inc.,Metal Fabrication,6841717
GWRS,"Global Water Resources, Inc.",Utilities - Regulated Water,260189898
PCYO,Pure Cycle Corporation,Utilities - Regulated Water,263069407
ARTNA,Artesian Resources Corporation,Utilities - Regulated Water,341674494
MSS,Maison Solutions Inc.,Grocery Stores,6708564
DNUT,"Krispy Kreme, Inc.",Grocery Stores,533599500
VLGEA,"Village Super Market, Inc.",Grocery Stores,553550194
SUNE,SUNation Energy Inc.,Solar,5075855
TURB,"Turbo Energy, S.A.",Solar,7657463
PN,Skycorp Solar Group Ltd,Solar,13446000
UCFI,CN Healthy Food Tech Group Corp.,Shell Companies,6
TBMC,Trailblazer Merger Corporation I,Shell Companies,28955966
ASPC,A SPAC III Acquisition Corp.,Shell Companies,29570400
BRAG,Bragg Gaming Group Inc.,Gambling,47059224
ROLR,"High Roller Technologies, Inc.",Gambling,50638410
GAMB,Gambling.com Group Limited,Gambling,164932742
SQFT,"Presidio Property Trust, Inc.",REIT - Diversified,2904218
GIPR,"Generation Income Properties, Inc.",REIT - Diversified,3170603
MKZR,"MacKenzie Realty Capital, Inc.",REIT - Diversified,7507455
LODE,Comstock Inc.,Other Precious Metals & Mining,198413793
GORO,Gold Resource Corporation,Other Precious Metals & Mining,272732161
PLG,Platinum Group Metals Ltd.,Other Precious Metals & Mining,309103531
TRNR,Interactive Strength Inc.,Personal Services,2048702
MRM,MEDIROM Healthcare Technologies Inc.,Personal Services,10718997
CLIK,Click Holdings Limited,Personal Services,11910070
CMCT,Creative Media & Community Trust Corporation,REIT - Office,2864766
FSP,Franklin Street Properties Corp.,REIT - Office,87462802
ONL,Orion Properties Inc.,REIT - Office,147262768
VSA,VisionSys AI Inc.,Education & Training Services,1925889
GSUN,Golden Sun Health Technology Group Limited,Education & Training Services,2473702
FCHL,Fitness Champs Holdings Limited,Education & Training Services,4032400
RILY,"BRC Group Holdings, Inc.",Financial Conglomerates,235291438
TREE,"LendingTree, Inc.",Financial Conglomerates,633500053
HTH,Hilltop Holdings Inc.,Financial Conglomerates,2380409200
GURE,"Gulf Resources, Inc.",Chemicals,8729141
ORGN,"Origin Materials, Inc.",Chemicals,25408930
ACNT,Ascent Industries Co.,Chemicals,160960800
SOAR,"Volato Group, Inc.",Airports & Air Services,3356802
ASLE,AerSale Corporation,Airports & Air Services,350584632
UP,Wheels Up Experience Inc.,Airports & Air Services,496535006
IVDA,"Iveda Solutions, Inc.",Security & Protection Services,1480435
BKYI,"BIO-key International, Inc.",Security & Protection Services,7314717
SUGP,SU Group Holdings Limited,Security & Protection Services,8451734
OXBR,Oxbridge Re Holdings Limited,Insurance - Reinsurance,9057824
GLRE,"Greenlight Capital Re, Ltd.",Insurance - Reinsurance,470910311
SPNT,SiriusPoint Ltd.,Insurance - Reinsurance,2310593579
DEVS,DevvStream Corp.,Pollution & Treatment Controls,3928871
CLWT,Euro Tech Holdings Company Limited,Pollution & Treatment Controls,9205264
TOMZ,"TOMI Environmental Solutions, Inc.",Pollution & Treatment Controls,14177869
BGI,Birks Group Inc.,Luxury Goods,15803095
SORA,AsiaStrategy,Luxury Goods,50971200
LANV,Lanvin Group Holdings Limited,Luxury Goods,135655814
CISS,C3is Inc.,Marine Shipping,873670
RUBI,Rubico Inc.,Marine Shipping,1710351
ICON,Icon Energy Corp.,Marine Shipping,4384806
EZGO,EZGO Technologies Ltd.,Recreational Vehicles,1398929
VMAR,Vision Marine Technologies Inc.,Recreational Vehicles,2740911
VEEE,Twin Vee Powercats Co.,Recreational Vehicles,2796624
IHT,InnSuites Hospitality Trust,REIT - Hotel & Motel,14992659
AHT,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,22831199
SOHO,Sotherly Hotels Inc.,REIT - Hotel & Motel,45489134
IZM,ICZOOM Group Inc.,Electronics & Computer Distribution,12975953
CLMB,"Climb Global Solutions, Inc.",Electronics & Computer Distribution,538382749
SCSC,"ScanSource, Inc.",Electronics & Computer Distribution,803366399
KALU,Kaiser Aluminum Corporation,Aluminum,2269059651
CSTM,Constellium SE,Aluminum,3402325924
CENX,Century Aluminum Company,Aluminum,4993795342
NBR,Nabors Industries Ltd.,Oil & Gas Drilling,998605107
PDS,Precision Drilling Corporation,Oil & Gas Drilling,1140135693
SOC,Sable Offshore Corp.,Oil & Gas Drilling,1211880615
JCTC,Jewett-Cameron Trading Company Ltd.,Lumber & Wood Production,6653014
NWGL,CL Workshop Group Limited,Lumber & Wood Production,20525925
BCC,Boise Cascade Company,Lumber & Wood Production,3349805091
TNMG,TNL Mediagene,Publishing,6900638
EDUC,Educational Development Corporation,Publishing,12171251
LEE,"Lee Enterprises, Incorporated",Publishing,124564496
KSS,Kohl's Corporation,Department Stores,1993601924
PLBL,Polibeli Group Ltd,Department Stores,3420652000
M,"Macy's, Inc.",Department Stores,5591521782
DVS,Dolly Varden Silver Corporation,Silver,435849465
NEWP,New Pacific Metals Corp.,Silver,707927179
SVM,Silvercorp Metals Inc.,Silver,2374505737
XHLD,"TEN Holdings, Inc.",Broadcasting,534000
BBGI,"Beasley Broadcast Group, Inc.",Broadcasting,8136013
UONE,"Urban One, Inc.",Broadcasting,37447435
NC,"NACCO Industries, Inc.",Thermal Coal,410323635
HNRG,Hallador Energy Company,Thermal Coal,938338862
NRP,Natural Resource Partners L.P.,Thermal Coal,1655400222
GLXG,Galaxy Payroll Group Limited,Staffing & Employment Services,3825882
IPDN,"Professional Diversity Network, Inc.",Staffing & Employment Services,6834748
NIXX,"Nixxy, Inc.",Staffing & Employment Services,15569622
RENX,RenX Enterprises Corp.,Real Estate - Development,1279105
LRE,"Lead Real Estate Co., Ltd",Real Estate - Development,17461632
LPA,Logistic Properties of the Americas,Real Estate - Development,83787210
ITP,"IT Tech Packaging, Inc.",Paper & Paper Products,3552559
MERC,Mercer International Inc.,Paper & Paper Products,119364332
CLW,Clearwater Paper Corporation,Paper & Paper Products,300398052
AREC,American Resources Corporation,Coking Coal,299110259
SXC,"SunCoke Energy, Inc.",Coking Coal,706110345
METC,"Ramaco Resources, Inc.",Coking Coal,1127342374
FRMI,Fermi Inc.,Regulated Electric,5771300696
STRS,Stratus Properties Inc.,Real Estate - Diversified,239442643
JOE,The St. Joe Company,Real Estate - Diversified,4042117100
CTW,CTW Cayman,Other,99216000
BMM,Blue Moon Metals Inc.,Other,291919002
NGEN,NervGen Pharma Corp.,Other,313926275
PASW,"Ping An Biomedical Co., Ltd.",Textile Manufacturing,5053250
CULP,"Culp, Inc.",Textile Manufacturing,46219162
UFI,"Unifi, Inc.",Textile Manufacturing,74510015
EHGO,Eshallgo Inc.,Business Equipment & Supplies,6151891
XRX,Xerox Holdings Corporation,Business Equipment & Supplies,277215260
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,373614271
DSL,DoubleLine Income Solutions Fund,Asset Management - Income,1282052292
BEEP,Mobile Infrastructure Corporation,Infrastructure Operations,131553000
CDNL,Cardinal Infrastructure Group Inc.,Infrastructure Operations,946279654
HKPD,"Cellyan Biotechnology Co., Ltd",Pharmaceutical Retailers,9046950
SCNX,"Scienture Holdings, Inc.",Pharmaceutical Retailers,18757216
POM,Pomdoctor Limited,Pharmaceutical Retailers,27780616
SI,"Shoulder Innovations, Inc.",Medical - Specialties,268271009
ALPS,Alps Group Inc,Oil & Gas,153204780
AMCI,AMC Robotics Corporation,Professional & Commercial Services,137153981
OBTC,Osprey Bitcoin Trust,Investment - Banking & Investment Services,133008601
